timestamp,step,qed,logp,l2_distance
2026-04-28T18:20:54Z,49,0.6871,0.7321,0.0723
2026-04-28T18:20:54Z,50,0.6915,0.736,0.0718
2026-04-28T18:20:54Z,51,0.695,0.739,0.0713
2026-04-28T18:20:54Z,52,0.6977,0.7414,0.0708
2026-04-28T18:20:54Z,53,0.6998,0.7431,0.0703
2026-04-28T18:20:54Z,54,0.7016,0.7447,0.0698
2026-04-28T18:20:54Z,55,0.7039,0.7467,0.0693
2026-04-28T18:20:54Z,56,0.7072,0.7496,0.0688
2026-04-28T18:20:54Z,57,0.7114,0.7534,0.0683
2026-04-28T18:20:54Z,58,0.7166,0.758,0.0678
2026-04-28T18:20:54Z,59,0.7224,0.7632,0.0673
2026-04-28T18:20:54Z,60,0.7288,0.7688,0.0668
2026-04-28T18:20:54Z,61,0.7354,0.7745,0.0662
2026-04-28T18:20:54Z,62,0.7423,0.7806,0.0657
2026-04-28T18:20:54Z,63,0.7494,0.7868,0.0652
2026-04-28T18:20:54Z,64,0.7564,0.7929,0.0647
2026-04-28T18:20:54Z,65,0.7629,0.7985,0.0642
2026-04-28T18:20:54Z,66,0.7687,0.8035,0.0637
2026-04-28T18:20:54Z,67,0.7739,0.808,0.0632
2026-04-28T18:20:54Z,68,0.7791,0.8123,0.0627
2026-04-28T18:20:54Z,69,0.7842,0.8167,0.0622
2026-04-28T18:20:54Z,70,0.7894,0.8211,0.0618
2026-04-28T18:20:54Z,71,0.7943,0.8253,0.0614
2026-04-28T18:20:54Z,72,0.7989,0.8291,0.0609
2026-04-28T18:20:54Z,73,0.803,0.8327,0.0605
2026-04-28T18:20:54Z,74,0.8067,0.8359,0.0601
2026-04-28T18:21:18Z,0,2.3648,2.1866,0.0176
2026-04-28T18:21:18Z,1,2.0264,1.8932,0.0244
2026-04-28T18:21:18Z,2,1.7446,1.6498,0.0311
2026-04-28T18:21:18Z,3,1.4878,1.428,0.0367
2026-04-28T18:21:18Z,4,1.249,1.222,0.0412
2026-04-28T18:21:18Z,5,1.0595,1.0584,0.0451
2026-04-28T18:21:18Z,6,0.9303,0.9464,0.0487
2026-04-28T18:21:18Z,7,0.8557,0.8811,0.0521
2026-04-28T18:21:18Z,8,0.8197,0.849,0.0551
2026-04-28T18:21:18Z,9,0.8088,0.8388,0.0579
2026-04-28T18:21:18Z,10,0.8112,0.8402,0.0604
2026-04-28T18:21:18Z,11,0.8127,0.8409,0.0625
2026-04-28T18:21:18Z,12,0.8082,0.8366,0.0643
2026-04-28T18:21:18Z,13,0.7964,0.8264,0.0658
2026-04-28T18:21:18Z,14,0.7796,0.8119,0.067
2026-04-28T18:21:18Z,15,0.7637,0.798,0.068
2026-04-28T18:21:18Z,16,0.7516,0.7875,0.0688
2026-04-28T18:21:18Z,17,0.7463,0.7829,0.0694
2026-04-28T18:21:18Z,18,0.7494,0.7855,0.07
2026-04-28T18:21:18Z,19,0.7599,0.7947,0.0705
2026-04-28T18:21:18Z,20,0.7756,0.8083,0.071
2026-04-28T18:21:18Z,21,0.7922,0.8229,0.0714
2026-04-28T18:21:18Z,22,0.8052,0.8342,0.0717
2026-04-28T18:21:18Z,23,0.8103,0.8389,0.0719
2026-04-28T18:21:18Z,24,0.8078,0.837,0.072
2026-04-28T18:21:18Z,25,0.8006,0.831,0.0719
2026-04-28T18:21:18Z,26,0.7928,0.8244,0.0718
2026-04-28T18:21:18Z,27,0.788,0.8203,0.0717
2026-04-28T18:21:18Z,28,0.7884,0.8207,0.0715
2026-04-28T18:21:18Z,29,0.7944,0.826,0.0713
2026-04-28T18:21:18Z,30,0.8047,0.8349,0.0711
2026-04-28T18:21:18Z,31,0.8166,0.8454,0.0708
2026-04-28T18:21:18Z,32,0.8276,0.8551,0.0705
2026-04-28T18:21:18Z,33,0.8358,0.8624,0.0701
2026-04-28T18:21:18Z,34,0.8407,0.8669,0.0697
2026-04-28T18:21:18Z,35,0.8437,0.8697,0.0692
2026-04-28T18:21:18Z,36,0.8467,0.8724,0.0687
2026-04-28T18:21:18Z,37,0.8509,0.8762,0.0682
2026-04-28T18:21:18Z,38,0.8568,0.8815,0.0677
2026-04-28T18:21:18Z,39,0.8641,0.8881,0.0673
2026-04-28T18:21:18Z,40,0.8719,0.895,0.0668
2026-04-28T18:21:18Z,41,0.879,0.9012,0.0663
2026-04-28T18:21:18Z,42,0.8849,0.9064,0.0658
2026-04-28T18:21:18Z,43,0.8899,0.9108,0.0653
2026-04-28T18:21:18Z,44,0.8946,0.9149,0.0647
2026-04-28T18:21:18Z,45,0.8998,0.9196,0.0641
2026-04-28T18:21:18Z,46,0.9063,0.9253,0.0635
2026-04-28T18:21:18Z,47,0.9137,0.9318,0.0629
